product_id,product_number,product_name,product_cost,product_line,category_id,start_date,end_date
601,BB-7421,LL Bottom Bracket,24,n/a,CO_BB,2013-07-01,
602,BB-8107,ML Bottom Bracket,45,n/a,CO_BB,2013-07-01,
603,BB-9108,HL Bottom Bracket,54,n/a,CO_BB,2013-07-01,
478,BC-M005,Mountain Bottle Cage,4,Mountain,AC_BC,2013-07-01,
479,BC-R205,Road Bottle Cage,3,Road,AC_BC,2013-07-01,
596,BK-M18B-40,Mountain-500 Black- 40,295,Mountain,BI_MB,2013-07-01,
597,BK-M18B-42,Mountain-500 Black- 42,295,Mountain,BI_MB,2013-07-01,
598,BK-M18B-44,Mountain-500 Black- 44,295,Mountain,BI_MB,2013-07-01,
599,BK-M18B-48,Mountain-500 Black- 48,295,Mountain,BI_MB,2013-07-01,
600,BK-M18B-52,Mountain-500 Black- 52,295,Mountain,BI_MB,2013-07-01,
591,BK-M18S-40,Mountain-500 Silver- 40,308,Mountain,BI_MB,2013-07-01,
592,BK-M18S-42,Mountain-500 Silver- 42,308,Mountain,BI_MB,2013-07-01,
593,BK-M18S-44,Mountain-500 Silver- 44,308,Mountain,BI_MB,2013-07-01,
594,BK-M18S-48,Mountain-500 Silver- 48,308,Mountain,BI_MB,2013-07-01,
595,BK-M18S-52,Mountain-500 Silver- 52,308,Mountain,BI_MB,2013-07-01,
587,BK-M38S-38,Mountain-400-W Silver- 38,420,Mountain,BI_MB,2013-07-01,
588,BK-M38S-40,Mountain-400-W Silver- 40,420,Mountain,BI_MB,2013-07-01,
589,BK-M38S-42,Mountain-400-W Silver- 42,420,Mountain,BI_MB,2013-07-01,
590,BK-M38S-46,Mountain-400-W Silver- 46,420,Mountain,BI_MB,2013-07-01,
364,BK-M47B-38,Mountain-300 Black- 38,598,Mountain,BI_MB,2012-07-01,
365,BK-M47B-40,Mountain-300 Black- 40,598,Mountain,BI_MB,2012-07-01,
366,BK-M47B-44,Mountain-300 Black- 44,598,Mountain,BI_MB,2012-07-01,
367,BK-M47B-48,Mountain-300 Black- 48,598,Mountain,BI_MB,2012-07-01,
358,BK-M68B-38,Mountain-200 Black- 38,1106,Mountain,BI_MB,2012-07-01,2013-06-30
359,BK-M68B-38,Mountain-200 Black- 38,1252,Mountain,BI_MB,2013-07-01,
360,BK-M68B-42,Mountain-200 Black- 42,1106,Mountain,BI_MB,2012-07-01,2013-06-30
361,BK-M68B-42,Mountain-200 Black- 42,1252,Mountain,BI_MB,2013-07-01,
362,BK-M68B-46,Mountain-200 Black- 46,1106,Mountain,BI_MB,2012-07-01,2013-06-30
363,BK-M68B-46,Mountain-200 Black- 46,1252,Mountain,BI_MB,2013-07-01,
